learning_rate,max_depth,n_estimators,reg_alpha,subsample,Run,Rmse,rsq
65,0.0001,4,1000,5e-05,0.9,65,2.3469114669346576,-4.9018912483034045
66,0.0001,4,1000,1e-05,0.5,66,2.3437258497481994,-4.909246984418092
67,0.0001,4,1000,1e-05,0.7,67,2.3442175745412417,-4.905285895211989
68,0.0001,4,1000,1e-05,0.9,68,2.3469114669346576,-4.9018912483034045
69,0.0001,4,1000,1e-06,0.5,69,2.3437258497481994,-4.909246984418092
70,0.0001,4,1000,1e-06,0.7,70,2.3442175745412417,-4.905285895211989
71,0.0001,4,1000,1e-06,0.9,71,2.3469114669346576,-4.9018912483034045
72,0.0001,4,3500,0.0001,0.5,72,1.2143318618551233,-2.6848711298604826
73,0.0001,4,3500,0.0001,0.7,73,1.2141022721560968,-2.6752617885155847
74,0.0001,4,3500,0.0001,0.9,74,1.215418624737491,-2.6677910554030144
75,0.0001,4,3500,5e-05,0.5,75,1.2143318618551233,-2.6848711298604826
76,0.0001,4,3500,5e-05,0.7,76,1.2141022721560968,-2.6752617885155847
77,0.0001,4,3500,5e-05,0.9,77,1.215418624737491,-2.6677910554030144
78,0.0001,4,3500,1e-05,0.5,78,1.2143318618551233,-2.6848711298604826
79,0.0001,4,3500,1e-05,0.7,79,1.2141022721560968,-2.6752617885155847
80,0.0001,4,3500,1e-05,0.9,80,1.215418624737491,-2.6677910554030144
81,0.0001,4,3500,1e-06,0.5,81,1.2143318618551233,-2.6848711298604826
82,0.0001,4,3500,1e-06,0.7,82,1.2141022721560968,-2.6752617885155847
83,0.0001,4,3500,1e-06,0.9,83,1.215418624737491,-2.6677910554030144
84,0.0001,4,5000,0.0001,0.5,84,0.9295279176053872,-1.7848347987826085
85,0.0001,4,5000,0.0001,0.7,85,0.9288693372139172,-1.7732115837770097
86,0.0001,4,5000,0.0001,0.9,86,0.92936151009756,-1.7634831712206003
87,0.0001,4,5000,5e-05,0.5,87,0.9295279176053872,-1.7848347987826085
88,0.0001,4,5000,5e-05,0.7,88,0.9288693372139172,-1.7732115837770097
89,0.0001,4,5000,5e-05,0.9,89,0.92936151009756,-1.7634831712206003
90,0.0001,4,5000,1e-05,0.5,90,0.9295279176053872,-1.7848347987826085
91,0.0001,4,5000,1e-05,0.7,91,0.9288693372139172,-1.7732115837770097
92,0.0001,4,5000,1e-05,0.9,92,0.92936151009756,-1.7634831712206003
93,0.0001,4,5000,1e-06,0.5,93,0.9295279176053872,-1.7848347987826085
94,0.0001,4,5000,1e-06,0.7,94,0.9288693372139172,-1.7732115837770097
95,0.0001,4,5000,1e-06,0.9,95,0.92936151009756,-1.7634831712206003
96,0.0001,6,100,0.0001,0.5,96,4.602050566622329,-6.013470352478888
97,0.0001,6,100,0.0001,0.7,97,4.603118195184272,-6.012972406154228
98,0.0001,6,100,0.0001,0.9,98,4.60455413501436,-6.01217680524061
99,0.0001,6,100,5e-05,0.5,99,4.602050566622329,-6.013470352478888
100,0.0001,6,100,5e-05,0.7,100,4.603118195184272,-6.012972406154228
101,0.0001,6,100,5e-05,0.9,101,4.60455413501436,-6.01217680524061
102,0.0001,6,100,1e-05,0.5,102,4.602050566622329,-6.013470352478888
103,0.0001,6,100,1e-05,0.7,103,4.603118195184272,-6.012972406154228
104,0.0001,6,100,1e-05,0.9,104,4.60455413501436,-6.01217680524061
105,0.0001,6,100,1e-06,0.5,105,4.602050566622329,-6.013470352478888
106,0.0001,6,100,1e-06,0.7,106,4.603118195184272,-6.012972406154228
107,0.0001,6,100,1e-06,0.9,107,4.60455413501436,-6.01217680524061
108,0.0001,6,1000,0.0001,0.5,108,2.347481955157725,-4.909306866546568
109,0.0001,6,1000,0.0001,0.7,109,2.3480315328118007,-4.904423140526539
110,0.0001,6,1000,0.0001,0.9,110,2.3490527806060038,-4.8987979212973585
111,0.0001,6,1000,5e-05,0.5,111,2.347481955157725,-4.909306866546568
112,0.0001,6,1000,5e-05,0.7,112,2.3480315328118007,-4.904423140526539
113,0.0001,6,1000,5e-05,0.9,113,2.3490527806060038,-4.8987979212973585
114,0.0001,6,1000,1e-05,0.5,114,2.347481955157725,-4.909306866546568
115,0.0001,6,1000,1e-05,0.7,115,2.3480315328118007,-4.904423140526539
116,0.0001,6,1000,1e-05,0.9,116,2.3490527806060038,-4.8987979212973585
117,0.0001,6,1000,1e-06,0.5,117,2.347481955157725,-4.909306866546568
118,0.0001,6,1000,1e-06,0.7,118,2.3480315328118007,-4.904423140526539
119,0.0001,6,1000,1e-06,0.9,119,2.3490527806060038,-4.8987979212973585
120,0.0001,6,3500,0.0001,0.5,120,1.2189466249823022,-2.685543768034223
121,0.0001,6,3500,0.0001,0.7,121,1.218378587054303,-2.6722917445931276
122,0.0001,6,3500,0.0001,0.9,122,1.2189449560331234,-2.661098311447419
123,0.0001,6,3500,5e-05,0.5,123,1.2189466249823022,-2.685543768034223
124,0.0001,6,3500,5e-05,0.7,124,1.218378587054303,-2.6722917445931276
125,0.0001,6,3500,5e-05,0.9,125,1.2189449560331234,-2.661098311447419
126,0.0001,6,3500,1e-05,0.5,126,1.2189466249823022,-2.685543768034223
127,0.0001,6,3500,1e-05,0.7,127,1.218378587054303,-2.6722917445931276
128,0.0001,6,3500,1e-05,0.9,128,1.2189449560331234,-2.661098311447419
129,0.0001,6,3500,1e-06,0.5,129,1.2189466249823022,-2.685543768034223
130,0.0001,6,3500,1e-06,0.7,130,1.218378587054303,-2.6722917445931276
131,0.0001,6,3500,1e-06,0.9,131,1.2189449560331234,-2.661098311447419
132,0.0001,6,5000,0.0001,0.5,132,0.9345673285400065,-1.7860101331015512
133,0.0001,6,5000,0.0001,0.7,133,0.9335670353369729,-1.7701990798940916
134,0.0001,6,5000,0.0001,0.9,134,0.9333410300548306,-1.7555151000305687
135,0.0001,6,5000,5e-05,0.5,135,0.9345673285400065,-1.7860101331015512
136,0.0001,6,5000,5e-05,0.7,136,0.9335670353369729,-1.7701990798940916
137,0.0001,6,5000,5e-05,0.9,137,0.9333410300548306,-1.7555151000305687
138,0.0001,6,5000,1e-05,0.5,138,0.9345673285400065,-1.7860101331015512
139,0.0001,6,5000,1e-05,0.7,139,0.9335670353369729,-1.7701990798940916
140,0.0001,6,5000,1e-05,0.9,140,0.9333410300548306,-1.7555151000305687
141,0.0001,6,5000,1e-06,0.5,141,0.9345673285400065,-1.7860101331015512
142,0.0001,6,5000,1e-06,0.7,142,0.9335670353369729,-1.7701990798940916
